Wavelength [nm],Intensity [a.u.]
944.176065436051,983.0
944.3071747396813,1013.0
944.4382338592495,1002.0
944.5692427382822,1009.0
944.7002013203055,998.0
944.8311095488457,998.0
944.9619673674292,1002.0
945.0927747195822,1006.0
945.223531548831,998.0
945.354237798702,994.0
945.4848934127215,987.0
945.6154983344157,1002.0
945.7460525073111,1006.0
945.8765558749338,994.0
946.0070083808102,990.0
946.1374099684666,1006.0
946.2677605814292,990.0
946.3980601632245,1009.0
946.5283086573786,1002.0
946.658506007418,1002.0
946.7886521568689,1009.0
946.9187470492576,987.0
947.0487906281105,990.0
947.1787828369537,998.0
947.3087236193137,990.0
947.4386129187167,987.0
947.568450678689,990.0
947.6982368427571,994.0
947.8279713544471,983.0
947.9576541572853,983.0
948.0872851947981,979.0
948.2168644105118,1006.0
948.3463917479526,998.0
948.4758671506469,1006.0
948.6052905621209,994.0
948.7346619259012,979.0
948.8639811855137,998.0
948.9932482844849,1002.0
949.1224631663413,1009.0
949.2516257746088,1006.0
949.380736052814,1002.0
949.509793944483,994.0
949.6387993931423,998.0
949.7677523423182,983.0
949.8966527355369,998.0
950.0255005163248,1002.0
950.154295628208,1009.0
950.283038014713,998.0
950.411727619366,987.0
950.5403643856935,1009.0
950.6689482572215,1002.0
950.7974791774766,1006.0
950.9259570899849,990.0
951.0543819382727,987.0
951.1827536658666,1002.0
951.3110722162925,990.0
951.4393375330769,987.0
951.5675495597461,990.0
951.6957082398264,1002.0
951.8238135168442,994.0
951.9518653343257,1009.0
952.0798636357972,987.0
952.207808364785,994.0
952.3356994648154,1006.0
952.4635368794147,998.0
952.5913205521093,994.0
952.7190504264254,994.0
952.8467264458894,975.0
952.9743485540275,990.0
953.1019166943661,998.0
953.2294308104315,1002.0
953.3568908457498,994.0
953.4842967438476,998.0
953.611648448251,994.0
953.7389459024864,983.0
953.8661890500802,1013.0
953.9933778345585,983.0
954.1205121994477,994.0
954.2475920882741,998.0
954.374617444564,1006.0
954.5015882118437,1009.0
954.6285043336395,1017.0
954.7553657534777,1017.0
954.8821724148847,1009.0
955.0089242613867,987.0
955.13562123651,1006.0
955.2622632837811,1006.0
955.3888503467259,983.0
955.5153823688711,994.0
955.6418592937428,1006.0
955.7682810648673,987.0
955.8946476257711,1002.0
956.0209589199803,994.0
956.1472148910213,1002.0
956.2734154824204,1006.0
956.3995606377039,1013.0
956.525650300398,983.0
956.6516844140291,1028.0
956.7776629221235,1006.0
956.9035857682076,1002.0
957.0294528958075,1011.0
957.1552642484496,1013.0
957.2810197696604,1013.0
957.4067194029658,990.0
957.5323630918924,994.0
957.6579507799664,994.0
957.7834824107142,1006.0
957.9089579276621,979.0
958.0343772743363,1025.0
958.1597403942632,1002.0
958.285047230969,987.0
958.41029772798,998.0
958.5354918288226,1013.0
958.6606294770231,998.0
958.7857106161077,990.0
958.910735189603,990.0
959.0357031410349,1006.0
959.1606144139299,1009.0
959.2854689518144,994.0
959.4102666982145,987.0
959.5350075966567,983.0
959.6596915906671,1002.0
959.7843186237722,990.0
959.9088886394982,987.0
960.0334015813714,1009.0
960.1578573929182,987.0
960.2822560176648,998.0
960.4065973991376,1006.0
960.5308814808627,1002.0
960.6551082063667,1002.0
960.7792775191756,1006.0
960.903389362816,987.0
961.027443680814,1006.0
961.151440416696,987.0
961.2753795139884,1002.0
961.3992609162171,1002.0
961.5230845669089,1002.0
961.6468504095898,1006.0
961.7705583877862,1013.0
961.8942084450244,998.0
962.0178005248308,1006.0
962.1413345707316,996.0
962.2648105262531,994.0
962.3882283349216,1009.0
962.5115879402633,994.0
962.6348892858048,1017.0
962.7581323150721,1006.0
962.8813169715918,1017.0
963.0044431988899,1002.0
963.1275109404929,987.0
963.2505201399272,987.0
963.3734707407187,1002.0
963.4963626863941,990.0
963.6191959204796,1009.0
963.7419703865014,994.0
963.864686027986,990.0
963.9873427884595,1009.0
964.1099406114483,994.0
964.2324794404788,994.0
964.354959219077,998.0
964.4773798907695,1009.0
964.5997413990825,1009.0
964.7220436875423,987.0
964.8442866996753,1009.0
964.9664703790077,998.0
965.0885946690657,983.0
965.210659513376,1013.0
965.3326648554644,998.0
965.4546106388575,1002.0
965.5764968070815,998.0
965.6983233036628,987.0
965.8200900721278,990.0
965.9417970560025,1025.0
966.0634441988135,998.0
966.1850314440869,998.0
966.3065587353491,998.0
966.4280260161263,998.0
966.549433229945,987.0
966.6707803203312,994.0
966.7920672308117,998.0
966.9132939049123,998.0
967.0344602861595,979.0
967.1555663180798,994.0
967.2766119441991,1002.0
967.397597108044,998.0
967.5185217531407,1006.0
967.6393858230156,994.0
967.7601892611949,987.0
967.880932011205,1006.0
968.0016140165721,998.0
968.1222352208226,998.0
968.2427955674827,1006.0
968.3632950000788,987.0
968.4837334621371,990.0
968.604110897184,994.0
